id,income_date,name,nif,base,iva,principal_id
58,2016-02-16,Marie Carpenter,766-03-0378,150.44,21,6
59,2016-10-21,Carolyn Mason,406-86-1540,131.54,21,5
60,2016-10-11,Joan Pierce,307-01-1442,165.37,21,5
61,2016-07-12,Matthew Bowman,393-24-2993,169.44,21,5
62,2015-11-27,Mildred Walker,563-83-4846,72.5,21,4
63,2016-03-30,Paul Henry,135-11-9027,48.36,21,4
64,2015-11-10,Todd Howell,587-48-0497,213.13,21,4
65,2016-02-18,Irene Martinez,313-75-0317,76.91,21,6
66,2016-04-25,Tammy Scott,859-98-1658,195.65,21,6
67,2016-04-27,Steve Carter,732-22-7156,33.08,21,4
68,2016-04-18,Joan Alvarez,809-43-1552,25.5,21,6
69,2016-06-07,Cynthia Kim,837-57-7222,104.21,21,3
70,2015-12-24,Craig Garcia,198-19-0457,200.37,21,4
71,2016-09-07,Rose Walker,963-58-4725,40.71,21,4
72,2016-01-06,Christina Hughes,861-06-4131,101.59,21,6
73,2016-04-17,Lois Stewart,299-21-7956,135.26,21,5
74,2016-03-11,Helen Hart,616-56-2326,142.71,21,4
75,2016-02-01,Sharon Harrison,107-02-1832,27.61,21,6
76,2016-07-02,Phillip Powell,327-73-7456,189.15,21,6
77,2015-12-19,Billy Kim,940-69-4193,33.14,21,3
78,2016-05-15,Jonathan Sanders,741-33-6738,103.36,21,3
79,2016-10-04,Andrew Stone,592-64-9177,177.5,21,4
80,2016-02-06,Diane Warren,192-10-7497,166.01,21,5
81,2016-01-03,Teresa Hawkins,195-76-1246,207.41,21,3
82,2016-02-28,Paul Thompson,690-28-7092,113.74,21,5
83,2016-05-10,Ann Sims,794-90-9325,90.02,21,5
84,2016-10-09,Jonathan Ferguson,100-58-4951,127.68,21,4
85,2016-07-22,Julie Miller,214-35-7302,133.32,21,4
86,2016-02-24,William Tucker,328-25-8786,217.34,21,6
87,2016-02-11,Chris Mcdonald,679-08-2744,143.25,21,5
88,2016-01-26,Raymond Olson,350-25-5505,182.01,21,4
89,2016-05-29,Tina Fuller,963-64-5948,47.76,21,3
90,2016-09-22,Debra Taylor,592-48-3815,77.91,21,5
91,2016-06-20,Jennifer Ross,631-14-2151,66.31,21,6
92,2015-12-31,Todd Patterson,538-87-4566,168.09,21,6
93,2015-12-26,Walter Welch,500-22-6438,43.69,21,6
94,2016-10-15,Marilyn Washington,179-98-6709,79.02,21,3
95,2016-08-09,Douglas Harris,274-44-5899,175.86,21,5
96,2016-07-12,Matthew Cruz,784-69-0748,42.45,21,6
97,2016-10-22,Janet Lopez,134-89-7754,66.63,21,6
98,2016-07-01,Louis Spencer,787-78-5001,85.63,21,5
99,2016-05-14,Russell White,931-99-9412,180.84,21,6
100,2016-08-13,Ruth Wallace,795-79-5604,91.72,21,5
101,2016-07-14,Billy King,870-02-4119,158.03,21,4
102,2015-11-03,Barbara Schmidt,436-64-6800,169.07,21,4
103,2016-08-31,Paul James,419-22-6416,33.0,21,6
104,2016-04-14,Donald Moore,377-08-5282,200.68,21,3
105,2016-02-25,William Franklin,534-57-2504,40.64,21,4
106,2016-05-25,Jason Young,936-45-3020,165.09,21,4
107,2016-09-01,Joshua Bailey,823-02-4617,221.01,21,5
108,2016-06-04,Nancy Franklin,943-24-4199,134.0,21,3
109,2016-04-30,Andrea Ryan,387-76-9942,117.99,21,5
110,2015-12-01,Wayne Welch,441-44-9071,129.53,21,3
111,2015-11-07,Anthony Stewart,749-93-3978,158.82,21,3
112,2016-03-30,Stephanie Rice,614-64-2034,198.12,21,4
113,2016-03-13,Joyce Shaw,943-50-8715,211.73,21,3
114,2016-01-13,Bonnie Turner,683-10-8131,34.45,21,3
115,2016-01-06,Amanda Lynch,843-59-2590,190.94,21,6
116,2016-07-04,Shirley Ray,403-70-4968,173.05,21,5
117,2016-04-16,Stephen Roberts,971-26-5715,32.03,21,4
118,2015-12-22,Raymond Olson,229-04-2837,63.79,21,3
119,2016-01-04,Russell Mendoza,547-55-2352,159.17,21,4
120,2015-12-26,Larry Garrett,406-48-1380,95.37,21,6
121,2016-08-13,Randy Armstrong,233-80-4305,149.1,21,4
122,2016-06-04,Andrea Payne,824-81-6831,205.89,21,6
123,2016-09-13,Gregory Cooper,977-61-5592,206.14,21,5
124,2016-04-16,Brian Mitchell,842-44-6866,171.87,21,6
125,2016-03-11,Martha Watson,982-30-8053,97.13,21,3
126,2016-01-02,Robin Ellis,245-23-8242,40.2,21,6
127,2016-09-11,Brian Morales,382-76-3025,93.59,21,6
128,2016-06-22,Emily Patterson,108-44-0340,219.67,21,4
129,2016-02-18,Joyce Campbell,904-88-2691,65.35,21,6
130,2016-05-21,Carlos Dean,503-69-1518,49.17,21,3
131,2016-05-22,Steven Welch,687-50-1309,30.35,21,3
132,2016-10-07,Irene Watkins,441-69-0898,105.1,21,6
133,2016-04-29,Anne Rice,953-17-6858,157.7,21,3
134,2015-11-15,Jonathan George,585-29-0061,201.93,21,4
135,2016-05-11,Sara Perkins,775-62-3468,129.62,21,4
136,2016-03-31,James Hunt,338-33-0633,163.87,21,6
137,2016-06-26,Kathleen Bailey,224-08-5894,161.18,21,6
138,2016-01-02,Stephen Jordan,472-57-8909,83.28,21,3
139,2016-05-25,Rose Welch,424-96-4736,207.07,21,5
140,2016-06-25,Daniel Hansen,478-46-9486,38.72,21,3
141,2016-01-04,Carolyn Wheeler,706-16-5553,172.16,21,6
142,2015-12-11,Anna Franklin,334-51-6105,90.3,21,4
143,2016-08-04,Diana Jones,803-47-6404,225.44,21,6
144,2015-12-28,Carlos Burns,663-16-2218,56.75,21,6
145,2016-06-01,Bobby Burns,599-43-7955,85.4,21,6
146,2016-04-29,Jimmy Robinson,616-93-7982,217.75,21,4
147,2016-08-15,Paula Fowler,670-91-2267,123.61,21,3
148,2016-02-05,Doris Coleman,626-70-6537,144.36,21,4
149,2015-10-25,Carlos Gardner,667-52-6570,187.91,21,4
150,2016-08-13,Carlos Ford,228-52-6492,87.48,21,4
151,2016-04-14,Douglas Barnes,226-80-6261,162.67,21,5
152,2016-03-16,Antonio King,933-37-1762,96.18,21,4
153,2016-02-18,Helen Long,622-78-1962,46.28,21,6
154,2016-05-31,Pamela Robinson,646-30-9763,98.99,21,5
155,2016-03-07,Nicholas Richards,214-19-1700,187.3,21,6
156,2016-06-04,Joshua Allen,552-78-7876,76.01,21,4
157,2016-10-17,Jeffrey Austin,672-30-2308,215.4,21,5
158,2016-05-25,James Lopez,613-34-1171,198.16,21,6
159,2015-11-01,Jesse Hunter,909-39-6157,192.55,21,6
160,2016-10-15,Brian Williamson,356-81-6558,217.62,21,5
161,2015-11-28,Joshua Fuller,537-97-0571,133.81,21,5
162,2016-04-09,Aaron Boyd,336-59-9674,115.14,21,3
163,2016-04-07,Ernest Gonzales,393-73-0407,175.06,21,5
164,2016-09-09,Carol Rodriguez,343-76-9882,211.24,21,6
165,2016-07-01,Sandra Parker,875-52-7992,101.43,21,3
166,2016-05-27,Steven Morris,166-57-1777,73.38,21,5
167,2016-09-22,Martha Jordan,638-51-4816,126.38,21,5
168,2016-08-31,Phillip Hudson,107-92-8589,226.38,21,5
169,2016-05-12,Ruby Fox,465-86-0886,176.72,21,4
170,2016-10-04,Matthew Ramos,549-80-0893,182.06,21,6
171,2016-07-05,Sarah Diaz,273-88-9781,149.88,21,6
172,2016-02-06,Katherine Rivera,807-78-5795,165.94,21,3
173,2015-11-03,Diane Gray,969-87-2732,223.64,21,4
174,2016-01-07,Kelly Arnold,184-52-7090,133.98,21,5
175,2016-05-31,Denise Nelson,718-21-5473,198.01,21,5
176,2016-01-07,Theresa Gibson,216-61-5072,170.73,21,5
177,2016-07-21,Edward Powell,629-85-0461,94.41,21,5
178,2016-05-11,Thomas Webb,806-60-7794,30.13,21,6
179,2016-01-21,Juan West,335-83-2757,129.3,21,5
180,2016-04-26,Jimmy Garrett,370-46-7858,226.52,21,5
181,2016-07-05,Howard Lane,576-21-8144,32.25,21,3
182,2016-10-04,Cheryl Sanders,342-48-4615,84.38,21,4
183,2015-11-15,Jesse Young,212-04-3408,68.9,21,5
184,2016-01-05,Richard Garza,823-66-7539,98.04,21,6
185,2016-03-19,Samuel Cook,560-81-4696,173.23,21,5
186,2016-02-18,Ernest Gardner,208-18-7407,174.2,21,3
187,2016-02-22,Emily Reynolds,132-23-1571,227.91,21,3
188,2016-07-24,Norma Hall,358-82-1856,132.83,21,6
189,2016-07-12,Jerry Martin,866-07-3771,149.45,21,6
190,2015-10-29,Steve Rodriguez,462-58-9539,38.23,21,4
191,2016-02-21,Evelyn Warren,123-14-4876,192.47,21,4
192,2016-08-17,Mark Hunt,418-31-8035,103.49,21,5
193,2016-09-01,Kimberly Ramirez,218-14-1044,202.86,21,5
194,2016-08-03,Chris Cole,431-24-5695,199.46,21,5
195,2016-04-04,Samuel Wallace,376-85-4638,66.43,21,3
196,2016-10-07,Laura Foster,487-45-3571,101.28,21,6
197,2016-10-09,Jerry Olson,726-36-9422,163.8,21,3
198,2015-11-27,Kimberly Palmer,635-95-3011,34.19,21,6
199,2016-09-28,Benjamin Walker,871-18-1205,74.34,21,3
200,2016-10-02,Rose Reynolds,865-48-5335,190.31,21,4
201,2016-08-10,Amy Hunt,276-66-7825,54.83,21,4
202,2016-05-25,Cheryl Walker,740-51-8720,174.85,21,3
203,2016-08-13,Raymond Gilbert,408-54-9881,183.85,21,5
204,2016-02-26,Peter Peterson,775-33-6807,103.63,21,5
205,2016-06-23,Frances Kim,673-10-8605,132.89,21,4
206,2016-02-12,Diana Burke,808-22-9987,197.1,21,4
207,2016-07-04,Joan Dunn,471-48-1167,53.83,21,4
208,2016-01-30,Stephen Little,706-21-1757,177.72,21,5
209,2015-12-20,Walter Robertson,267-13-8214,198.6,21,6
210,2016-08-17,Lisa Carter,182-94-9536,212.71,21,6
211,2016-10-03,Jason Allen,459-88-2148,109.4,21,4
212,2016-02-03,Andrew Coleman,830-15-9109,36.81,21,4
213,2016-04-18,Aaron Rogers,948-48-8722,94.83,21,5
214,2016-10-23,Ann Armstrong,635-41-9303,34.77,21,3
215,2016-09-15,Christine Martin,800-57-2075,191.9,21,4
216,2016-08-10,Bonnie Woods,113-36-7035,56.22,21,4
217,2016-08-18,Carlos Cook,151-78-3643,141.11,21,3
218,2016-08-11,Randy Bryant,894-51-7234,87.83,21,6
219,2016-09-19,Walter Roberts,653-13-4668,25.16,21,5
220,2016-04-21,Randy Myers,317-48-9417,99.63,21,3
221,2016-06-08,Martin Woods,398-97-0729,139.89,21,6
222,2016-05-12,Bruce Matthews,788-37-0566,70.09,21,4
223,2016-10-14,Brian Gutierrez,880-69-7638,111.29,21,5
224,2016-10-15,Tammy Knight,581-80-9337,135.22,21,5
225,2016-09-07,Billy Moore,970-32-5363,102.95,21,6
226,2016-03-24,Denise Larson,127-67-6342,54.0,21,4
227,2016-03-31,Teresa Berry,574-47-5502,189.92,21,4
228,2016-03-02,Sean Hernandez,459-87-8349,183.74,21,3
229,2016-06-01,Jane Garcia,238-25-2215,168.73,21,4
230,2016-01-20,Janet Grant,908-24-0053,122.46,21,5
231,2016-02-10,Jennifer Williams,709-50-8209,187.79,21,4
232,2016-08-01,Margaret Wells,439-47-5631,52.08,21,3
233,2016-02-01,Laura Berry,853-27-7522,112.17,21,5
234,2015-12-07,Gloria Vasquez,814-34-2983,220.48,21,3
235,2016-09-06,Daniel Watson,857-23-3608,151.44,21,3
236,2015-12-21,Bobby Lee,880-01-8148,130.04,21,5
237,2016-10-18,Carolyn Marshall,428-92-5936,77.52,21,4
238,2015-12-01,Chris Gutierrez,707-94-7769,228.34,21,3
239,2015-11-23,Rose Reynolds,462-41-3651,45.92,21,3
240,2016-03-28,Albert Hart,749-82-7981,112.12,21,4
241,2016-03-10,Roger Duncan,150-08-1764,110.68,21,6
242,2015-12-03,Walter Flores,946-00-9726,219.72,21,4
243,2016-09-11,Charles Armstrong,876-37-3459,75.71,21,6
244,2016-10-13,Lisa Fox,643-12-7793,116.72,21,6
245,2016-01-04,Carlos Hicks,293-15-6420,92.81,21,5
246,2016-04-13,Antonio Allen,986-75-3358,158.27,21,4
247,2016-04-06,Christine Fowler,426-16-6985,96.18,21,5
248,2015-12-13,Nancy Parker,579-98-7773,214.15,21,6
249,2016-09-18,Roy Barnes,258-14-0586,71.72,21,5
250,2016-08-22,Pamela Weaver,732-63-2336,153.81,21,3
251,2016-06-24,Teresa Welch,308-43-8111,206.97,21,4
252,2015-12-19,Nicole Weaver,356-77-2355,204.24,21,6
253,2015-12-17,Carlos Fernandez,647-59-0068,98.7,21,4
254,2016-05-14,Alan Jordan,934-42-8123,197.95,21,5
255,2016-06-25,Chris Ryan,811-52-1272,153.45,21,5
256,2016-06-04,Ernest Davis,497-56-0765,140.94,21,6
257,2016-04-13,Steve Burton,316-69-0897,44.7,21,4
258,2016-10-04,Timothy Fowler,373-00-7428,223.39,21,5
259,2015-11-17,Lori Scott,743-78-9450,28.28,21,4
260,2016-09-26,Michael Wheeler,511-96-1231,151.79,21,6
261,2016-10-05,Anna Garrett,521-52-7005,89.05,21,5
262,2016-04-30,Dennis Stevens,589-02-6524,84.26,21,3
263,2015-11-22,Keith Smith,555-18-9660,79.68,21,6
264,2016-02-01,Scott Lewis,168-51-0243,99.13,21,6
265,2016-09-02,Wayne Fuller,135-22-0097,67.27,21,5
266,2016-04-26,Lillian Hamilton,770-98-4452,194.16,21,6
267,2016-06-16,Michael Lynch,364-41-7760,180.18,21,4
268,2016-03-30,Willie Hunt,303-43-7439,215.56,21,3
269,2016-08-17,Victor Wilson,294-98-0297,77.85,21,3
270,2016-06-04,Carl Gardner,865-03-4081,168.35,21,6
271,2016-07-13,Bobby Fox,246-70-5856,199.54,21,6
272,2016-06-01,Nancy Wallace,298-51-1358,84.85,21,6
273,2016-08-26,Carlos Turner,129-51-8973,97.75,21,5
274,2016-02-18,Matthew Reynolds,153-82-3521,154.15,21,4
275,2016-04-02,Ronald Young,775-96-4843,120.72,21,5
276,2016-01-05,Aaron Mason,429-68-9677,188.93,21,3
277,2015-11-16,Evelyn Cunningham,355-72-1108,178.5,21,4
278,2016-04-04,Anna Henry,169-09-5315,183.32,21,3
279,2016-08-04,Anthony Baker,245-21-0042,76.61,21,6
280,2015-12-16,Samuel Wheeler,808-91-3876,175.01,21,3
281,2016-05-10,Billy Ford,803-52-1698,138.18,21,3
282,2016-02-20,Denise Mitchell,512-17-4013,52.59,21,4
283,2016-03-13,Clarence Kelly,105-25-5117,55.38,21,3
284,2016-02-11,Dorothy Kim,329-82-4830,75.7,21,3
285,2016-02-01,Howard Griffin,762-82-6714,139.21,21,5
286,2015-10-24,Teresa Howard,249-29-1859,120.95,21,5
287,2016-03-10,Sara Taylor,666-54-8535,73.09,21,5
288,2016-04-29,Katherine Henderson,902-87-8596,225.35,21,4
289,2016-04-28,Virginia Fields,746-35-2199,41.77,21,4
290,2016-04-17,Donald Wagner,696-15-1418,208.74,21,3
291,2015-11-21,Dennis Morales,848-57-3552,35.24,21,3
292,2016-02-10,Deborah Moore,771-89-6694,143.0,21,5
293,2015-12-21,Beverly Burton,577-20-8277,35.31,21,3
294,2016-02-26,Joan Freeman,323-82-9455,125.95,21,6
295,2016-10-13,Lisa Perry,218-54-2022,123.4,21,4
296,2016-02-08,Brenda Diaz,448-69-7228,84.27,21,5
297,2015-12-09,Deborah James,532-70-3076,137.89,21,6
298,2016-05-16,George Jackson,958-93-6652,213.52,21,5
299,2016-01-04,Harold Thomas,545-24-4416,114.96,21,6
300,2016-08-10,Margaret Williams,955-51-9359,200.8,21,3
301,2016-04-25,Daniel Fields,469-70-8987,25.67,21,3
302,2015-11-27,Lori Harvey,863-02-2578,225.74,21,5
303,2016-03-13,Ashley Graham,250-28-7245,223.75,21,5
304,2016-05-01,George Burns,414-43-1348,223.75,21,3
305,2015-12-23,Bobby Pierce,558-53-7292,169.28,21,6
306,2016-08-24,Dennis Lane,988-05-3928,188.18,21,3
307,2015-12-26,Gary Warren,293-08-2315,86.34,21,5
308,2016-06-02,Larry Harris,485-93-2211,109.83,21,6
309,2016-10-23,Joseph Hunter,254-72-3283,86.56,21,6
310,2016-01-09,Paul Garrett,603-66-0018,223.3,21,6
311,2016-02-14,Jose Ross,459-65-1043,106.77,21,5
312,2016-07-26,Lisa Fox,680-97-8922,227.31,21,3
313,2016-01-20,Larry Cruz,446-55-2104,178.17,21,3
314,2015-11-18,Peter Armstrong,880-00-4292,59.6,21,3
315,2016-07-12,Barbara Mason,804-06-4024,143.46,21,6
316,2015-12-28,Shawn Evans,521-28-6352,222.46,21,5
317,2015-11-04,Juan Wheeler,129-58-8198,74.15,21,3
318,2016-07-13,Jennifer Campbell,488-24-8151,159.7,21,5
319,2016-06-22,Jessica Fisher,542-05-5563,40.85,21,5
320,2016-05-22,Kathleen Campbell,810-33-1778,171.1,21,6
321,2016-02-12,Frances Wheeler,209-38-6616,124.93,21,5
322,2016-07-06,Todd Martin,506-39-0318,62.76,21,5
323,2016-05-31,Irene Stevens,657-33-0773,154.7,21,5
324,2016-08-02,Carol Reynolds,364-90-1005,69.97,21,6
325,2016-04-29,Harry Grant,990-77-2628,217.44,21,5
326,2016-01-05,Marilyn Daniels,252-39-7721,85.72,21,6
327,2016-07-13,Kevin Ryan,190-71-6398,158.06,21,3
328,2016-03-11,Deborah Carr,301-67-0928,37.79,21,4
329,2016-03-18,Eric Freeman,589-68-3546,83.96,21,6
330,2016-04-04,Denise Scott,272-62-6873,164.33,21,6
331,2016-06-04,Debra Harris,684-16-4471,100.43,21,6
332,2016-01-25,Kevin Stanley,833-54-0242,45.35,21,4
333,2016-10-01,Mark Garcia,938-32-6510,62.05,21,4
334,2016-03-04,David Evans,524-13-1167,229.51,21,5
335,2016-05-11,Daniel Johnson,547-21-5010,30.15,21,5
336,2016-04-26,Mildred George,248-32-6391,71.02,21,3
337,2016-03-28,Patrick Cooper,332-98-3246,172.49,21,4
338,2016-10-12,Richard Simpson,839-76-9730,37.93,21,5
339,2016-04-16,Robert Young,398-56-9259,63.82,21,4
340,2015-11-20,Marie Fields,776-54-5366,189.91,21,4
341,2016-08-12,Nicole Tucker,195-46-4246,162.84,21,3
342,2016-08-03,Walter Jones,895-45-6600,147.0,21,5
343,2016-02-29,Harold Jacobs,701-56-4325,94.06,21,3
344,2016-01-17,Linda Myers,729-82-1613,221.51,21,3
345,2015-12-09,Cheryl Sullivan,315-82-0734,62.41,21,3
346,2016-10-03,Aaron George,755-08-0972,147.26,21,6
347,2016-04-28,John Price,457-59-1930,113.01,21,3
348,2016-05-10,Phyllis Woods,215-59-0724,128.81,21,3
349,2016-06-29,Timothy Perkins,427-79-4635,141.07,21,4
350,2016-01-10,Carol Thompson,821-87-2015,73.41,21,4
351,2016-03-15,Ronald Hunter,507-34-7042,163.37,21,6
352,2016-05-07,Daniel Moreno,165-17-3387,183.35,21,4
353,2016-02-05,Robert Rose,298-50-6456,115.06,21,4
354,2016-07-03,Carol Ward,712-52-3086,204.16,21,3
355,2016-03-21,Anna Lopez,114-33-5218,161.94,21,6
356,2016-09-27,Willie Roberts,734-83-0306,149.27,21,3
357,2016-01-10,Kimberly Henderson,519-02-3752,87.4,21,3
358,2016-03-16,Heather Wood,441-99-8102,103.5,21,4
359,2016-10-09,Andrea Mendoza,975-59-2290,90.29,21,3
360,2016-08-12,Dennis Jones,427-08-0055,36.88,21,4
361,2016-06-22,Melissa Butler,470-16-0129,135.01,21,5
362,2015-11-22,Raymond Rose,668-68-6755,68.2,21,5
363,2016-01-15,James Ramirez,204-44-9986,165.71,21,6
364,2016-09-25,Sarah Butler,928-20-9090,190.27,21,4
365,2016-08-07,Daniel Lee,795-87-6746,106.45,21,3
366,2015-12-18,Norma Powell,196-41-2525,141.94,21,6
367,2016-09-16,Jeffrey Kelley,921-91-3135,64.59,21,3
368,2016-06-30,Shawn Marshall,228-80-0502,139.66,21,6
369,2015-11-11,Michael Berry,627-36-3009,35.2,21,3
370,2016-02-18,Diane Richardson,626-52-7502,41.57,21,3
371,2016-06-02,Jeremy Hughes,519-16-5091,182.06,21,5
372,2016-05-21,Heather Freeman,375-07-4698,115.29,21,3
373,2016-02-26,Judith Evans,270-64-4958,87.94,21,3
374,2016-04-19,Alice Ellis,847-35-4886,215.22,21,6
375,2016-09-04,Gloria Fields,747-21-0491,85.72,21,6
376,2016-04-10,Sara Cox,886-90-6215,140.21,21,6
377,2016-01-23,Joe Cook,194-04-2973,32.34,21,5
378,2016-07-22,Karen Stewart,354-66-9023,214.99,21,6
379,2016-08-28,Robin Wood,581-11-0147,157.25,21,5
380,2015-10-26,Ann Green,972-86-1147,113.47,21,5
381,2015-11-25,Virginia Fowler,332-89-6288,85.21,21,6
382,2016-08-13,Edward Henderson,937-07-3850,222.97,21,5
383,2016-10-03,Lillian Martin,695-09-8967,68.29,21,4
384,2015-11-14,Jacqueline Hayes,933-59-3022,115.85,21,3
385,2016-06-24,Sara Chapman,404-91-2906,55.32,21,6
386,2016-03-29,Ralph Spencer,125-50-0865,74.57,21,5
387,2016-05-23,Louise Edwards,315-06-4519,144.93,21,4
388,2016-03-06,Jason Cunningham,612-13-2759,196.04,21,6
389,2016-04-01,Jean Harris,303-59-8299,77.02,21,5
390,2016-08-19,Eric Crawford,693-81-8067,53.66,21,4
391,2016-01-05,Jennifer Nguyen,381-47-3355,144.96,21,4
392,2016-04-21,Phyllis Thompson,202-58-8638,138.47,21,4
393,2016-06-17,Dennis Wagner,884-41-1067,202.65,21,3
394,2016-02-23,Mark Palmer,536-72-9123,164.85,21,5
395,2015-11-22,Stephanie Perry,358-62-2665,129.72,21,5
396,2016-02-16,Lillian Jordan,518-65-6657,98.97,21,6
397,2016-08-30,James White,737-75-1199,44.12,21,6
398,2015-12-18,Jimmy Watson,992-54-5364,212.18,21,6
399,2016-08-02,Brenda Burns,618-07-4294,171.91,21,6
400,2016-06-23,Juan Dunn,817-57-2432,199.45,21,6
401,2016-09-06,Emily Jones,705-76-2989,57.12,21,6
402,2016-09-03,Donna Crawford,366-08-0276,191.09,21,5
403,2016-07-28,Ronald Jones,810-23-0527,112.91,21,5
404,2016-05-14,Karen Garrett,833-37-6444,155.1,21,3
405,2016-02-01,Henry Howell,750-11-8030,103.85,21,4
406,2016-02-27,Raymond Sims,930-38-6235,142.01,21,6
407,2016-01-21,Craig King,728-92-0123,99.88,21,6
408,2015-10-25,Deborah Watkins,773-55-2344,52.66,21,4
409,2016-02-10,Louis Palmer,276-36-1493,212.12,21,5
410,2016-03-15,Judy Walker,859-76-0083,172.91,21,6
411,2016-01-13,Charles Welch,756-32-4517,166.67,21,5
412,2016-04-16,Bruce Washington,563-96-0480,156.22,21,3
413,2016-08-25,Joseph Harper,798-99-2847,34.32,21,6
414,2016-03-06,Juan Arnold,799-14-5987,118.71,21,5
415,2016-01-20,Donna Simpson,839-14-2425,157.75,21,5
416,2016-02-15,Doris Kennedy,532-94-2785,214.15,21,4
417,2016-01-12,Martin Ross,825-34-3688,226.82,21,4
418,2015-10-29,Philip Carter,983-35-1062,128.16,21,6
419,2016-05-18,Harold Dunn,967-22-7373,164.61,21,4
420,2016-06-25,Stephanie Lynch,391-55-6611,190.82,21,6
421,2016-05-29,Carl Weaver,511-04-1199,84.7,21,4
422,2016-02-24,Phillip Medina,705-42-5091,128.06,21,4
423,2016-03-09,Jose Gonzales,867-34-5036,127.64,21,3
424,2016-10-02,Matthew Simmons,901-91-0534,167.91,21,5
425,2016-02-19,George Sullivan,878-67-1983,89.95,21,5
426,2015-11-03,Adam Fernandez,827-55-0580,134.72,21,6
427,2015-12-26,Dorothy Hunt,428-00-1804,31.41,21,3
428,2016-09-11,Heather Butler,446-65-1687,103.38,21,4
429,2016-08-05,Mary Wells,807-19-6956,132.82,21,6
430,2016-10-02,Ronald Alexander,193-52-3167,125.57,21,4
431,2015-12-08,Sara Mccoy,805-25-7165,157.99,21,5
432,2015-12-29,Keith Pierce,645-27-9789,195.72,21,4
433,2016-10-16,Gary Turner,296-63-7731,107.92,21,4
434,2015-12-07,Antonio Alexander,637-47-3217,215.33,21,6
